ImageFile,fakeiq_trials.thisRepN,fakeiq_trials.thisTrialN,fakeiq_trials.thisN,fakeiq_trials.thisIndex,intro_text.started,intro_text.stopped,space_instr_intro.started,space_instr_intro.stopped,intro_key_resp.keys,intro_key_resp.rt,intro_key_resp.started,intro_key_resp.stopped,itemIndex,questions,ratings,rt,space_instr_4.started,space_instr_4.stopped,relationship_key_resp.keys,relationship_key_resp.rt,relationship_key_resp.started,relationship_key_resp.stopped,relationship_instr.started,relationship_instr.stopped,instr_fakeiq.started,instr_fakeiq.stopped,instr_fakeiq_key_resp.keys,instr_fakeiq_key_resp.rt,instr_fakeiq_key_resp.started,instr_fakeiq_key_resp.stopped,image_raven.started,image_raven.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instr_premfq.started,instr_premfq.stopped,instr_premfq_key_resp.keys,instr_premfq_key_resp.rt,instr_premfq_key_resp.started,instr_premfq_key_resp.stopped,mfq1_key_resp.keys,mfq1_key_resp.rt,mfq1_key_resp.started,mfq1_key_resp.stopped,space_instr.started,space_instr.stopped,mfq1_instr.started,mfq1_instr.stopped,scale_instr_mfq1.started,scale_instr_mfq1.stopped,mfq2_key_resp.keys,mfq2_key_resp.rt,mfq2_key_resp.started,mfq2_key_resp.stopped,space_instr_2.started,space_instr_2.stopped,scale_instr_mfq1_2.started,scale_instr_mfq1_2.stopped,mfq1_instr_2.started,mfq1_instr_2.stopped,condition,manipulation_text.started,manipulation_text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,demo_key_resp.keys,demo_key_resp.rt,demo_key_resp.started,demo_key_resp.stopped,space_instr_3.started,space_instr_3.stopped,debriefing_text.started,debriefing_text.stopped,debriefing_key_resp.keys,debriefing_key_resp.rt,debriefing_key_resp.started,debriefing_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7,22) Sprawiedliwe traktowanie obywateli jest podstawą dobrego społeczeństwa.,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,8,"23) Należy być lojalnym wobec członków rodziny, nawet gdy zrobią coś złego.",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,9,24) Role kobiet i mężczyzn w społeczeństwie są i powinny być różne.,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,10,"25) Określiłbym/określiłabym pewne czyny jako złe ze względu na to, że są one niezgodne z naturą.",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,11,26) Zabicie drugiego człowieka jest - w zdecydowanej większości przypadków - czymś moralnie złym.,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,12,"27) Uważam, że jest to moralnie złe, że dzieci bogatych ludzi mają znacząco lepszy start w życiu niż dzieci biednych ludzi.",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,13,28) Solidarność ze swoją grupą jest ważniejsza niż wierność własnym poglądom.,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,14,"29) Gdybym był żołnierzem i nie zgadzałbym się z rozkazem przełożonego, to i tak bym go wykonał, ponieważ taki jest obowiązek żołnierza.",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,15,30) Czystość seksualna to ważna i cenna cnota człowieka.,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4916073998901993,26.996476199943572,None,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.996476199943572,None,26.996476199943572,None,26.996476199943572,None,exprmntl,27.55903449980542,None,space,0.7987575998995453,27.55903449980542,None,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,1,Prosimy zaznaczyć swoją płeć:,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,2,Prosimy zaznaczyć swój wiek:,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,3,Prosimy zaznaczyć swoje miejsce zamieszkania:,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,4,Prosimy zaznaczyć swoje wykształcenie:,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7216529999859631,28.38678830000572,None,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.38678830000572,None,29.126047499943525,None,space,0.746173899853602,29.126047499943525,None,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
